epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65373,4.29072,5.40742,1.46985,0,0,0,0,4.0028,5.31583,1.30867,1.54e-05,1.54e-05,1.54e-05
2,3.21854,4.33006,5.39278,1.5007,0,0,0,0,3.62453,5.28052,1.24854,3.39639e-05,3.39639e-05,3.39639e-05
3,4.78912,3.68734,5.30978,1.32275,0,0,0,0,3.06905,5.23416,1.13448,5.17656e-05,5.17656e-05,5.17656e-05
4,6.3276,3.65071,5.29462,1.20712,0,0,0,0,2.962,5.22388,1.09182,6.88049e-05,6.88049e-05,6.88049e-05
5,8.00236,3.77281,5.2553,1.2641,0,0,0,0,2.87166,5.20945,1.02183,8.50819e-05,8.50819e-05,8.50819e-05
6,9.5619,3.36097,5.2338,1.18562,0,0,0,0,2.68264,5.19439,0.97967,0.000100597,0.000100597,0.000100597
7,11.1396,3.41251,5.20101,1.15219,0,0,0,0,2.52815,5.16024,0.93726,0.000115349,0.000115349,0.000115349
8,13.2827,3.4085,5.19059,1.13315,0,0,0,0,2.50605,5.12834,0.93352,0.000129339,0.000129339,0.000129339
9,14.8978,3.14489,5.17863,1.06463,0,0,0,0,2.73492,5.11142,0.94012,0.000142567,0.000142567,0.000142567
10,16.4399,3.07958,5.08997,1.03721,0,0,0,0,2.86618,5.06854,0.94945,0.000155033,0.000155033,0.000155033
11,18.0046,3.0644,5.05927,1.01927,0,0,0,0,2.83933,5.03756,0.9533,0.000166736,0.000166736,0.000166736
12,20.0627,3.04673,5.07606,1.03047,0,0,0,0,2.75057,4.99287,0.94033,0.000177677,0.000177677,0.000177677
13,21.7566,2.95865,5.05555,1.01752,0,0,0,0,2.75411,5.01483,0.93835,0.000187855,0.000187855,0.000187855
14,23.2658,3.03132,5.0119,1.00971,0,0,0,0,2.70966,5.0202,0.93117,0.000197272,0.000197272,0.000197272
15,24.7997,2.81398,4.99585,1.00654,0,0,0,0,2.77496,5.01157,0.93276,0.000205926,0.000205926,0.000205926
16,26.3286,2.89303,4.97189,1.00285,0,0,0,0,2.81465,4.99746,0.93038,0.000213817,0.000213817,0.000213817
17,27.8364,2.88077,4.95694,0.99125,0,0,0,0,2.75641,4.94678,0.91683,0.000220947,0.000220947,0.000220947
18,29.4004,2.76283,4.91236,0.98227,0,0,0,0,2.59643,4.89957,0.91555,0.000227314,0.000227314,0.000227314
19,30.9339,2.61674,4.90061,0.9688,0,0,0,0,2.49848,4.84582,0.90911,0.000232919,0.000232919,0.000232919
20,32.5432,2.82271,4.86851,0.97136,0,0,0,0,2.45062,4.74173,0.90229,0.000237761,0.000237761,0.000237761
21,34.0464,2.77316,4.79941,0.9638,0,0,0,0,2.46058,4.72856,0.90471,0.00023254,0.00023254,0.00023254
22,35.5283,2.66289,4.75992,0.95585,0,0,0,0,2.52962,4.68907,0.9078,0.000224917,0.000224917,0.000224917
23,37.02,2.81543,4.75062,0.94397,0,0,0,0,2.57485,4.65132,0.90947,0.000217294,0.000217294,0.000217294
24,38.526,2.75606,4.7557,0.96474,0.0119,0.00926,0.00684,0.00205,2.58456,4.56378,0.90776,0.000209671,0.000209671,0.000209671
25,40.0522,2.73409,4.69532,0.96398,0.09524,0.03704,0.0624,0.03539,2.53908,4.52839,0.90607,0.000202048,0.000202048,0.000202048
26,41.6406,2.60987,4.67003,0.95502,0.09375,0.03704,0.06174,0.03581,2.5239,4.48374,0.90222,0.000194425,0.000194425,0.000194425
27,43.1117,2.67319,4.60982,0.93682,0.09167,0.03704,0.06114,0.03557,2.54817,4.45165,0.89839,0.000186802,0.000186802,0.000186802
28,44.771,2.47983,4.61625,0.91763,0.03952,0.06561,0.04918,0.0265,2.61932,4.36846,0.89924,0.000179179,0.000179179,0.000179179
29,46.2657,2.45131,4.51096,0.92052,0.03425,0.06561,0.04735,0.02187,2.60601,4.35851,0.89472,0.000171556,0.000171556,0.000171556
30,47.7825,2.61004,4.56423,0.95833,0.03539,0.09339,0.05104,0.02439,2.55667,4.32789,0.89093,0.000163933,0.000163933,0.000163933
31,49.2996,2.55363,4.52464,0.94277,0.04036,0.11653,0.05469,0.02729,2.48183,4.29155,0.89292,0.00015631,0.00015631,0.00015631
32,50.7898,2.65311,4.53392,0.94681,0.04538,0.18413,0.06868,0.03577,2.28169,4.20482,0.89403,0.000148687,0.000148687,0.000148687
33,52.2745,2.54037,4.4666,0.94995,0.03936,0.16746,0.05964,0.03398,2.28407,4.16217,0.89174,0.000141064,0.000141064,0.000141064
34,53.7836,2.48142,4.40453,0.92323,0.04317,0.20079,0.06416,0.03576,2.26147,4.14666,0.89094,0.000133441,0.000133441,0.000133441
35,55.2894,2.45161,4.41447,0.94382,0.04153,0.20079,0.06304,0.03461,2.25279,4.15089,0.89072,0.000125818,0.000125818,0.000125818
36,56.9232,2.4707,4.35842,0.92835,0.03861,0.18413,0.06264,0.03022,2.31021,4.13202,0.89128,0.000118195,0.000118195,0.000118195
37,58.4194,2.38479,4.29287,0.91865,0.04005,0.18413,0.06408,0.03042,2.30418,4.11769,0.88958,0.000110572,0.000110572,0.000110572
38,59.9734,2.59091,4.27726,0.92299,0.04342,0.20079,0.07104,0.02768,2.30203,4.10884,0.88705,0.000102949,0.000102949,0.000102949
39,61.5106,2.45889,4.28468,0.93331,0.04893,0.22857,0.07707,0.02887,2.29476,4.10244,0.88312,9.5326e-05,9.5326e-05,9.5326e-05
40,63.048,2.5311,4.29485,0.91366,0.04785,0.22857,0.07485,0.02698,2.30008,4.08984,0.88004,8.7703e-05,8.7703e-05,8.7703e-05
41,64.609,2.44517,4.05086,0.93088,0.0467,0.22857,0.07407,0.02757,2.24581,4.07305,0.87507,8.008e-05,8.008e-05,8.008e-05
42,66.2047,2.38215,3.97755,0.89525,0.04841,0.24524,0.07511,0.03204,2.1597,4.0604,0.86962,7.2457e-05,7.2457e-05,7.2457e-05
43,67.7939,2.50395,4.02895,0.912,0.04938,0.2545,0.07714,0.03326,2.08567,4.03583,0.86496,6.4834e-05,6.4834e-05,6.4834e-05
44,69.3303,2.4689,3.89878,0.90523,0.05068,0.26491,0.08068,0.03612,2.05593,4.00124,0.85925,5.7211e-05,5.7211e-05,5.7211e-05
45,70.905,2.51392,3.9651,0.89907,0.04809,0.26293,0.07769,0.0397,2.04853,3.98516,0.85613,4.9588e-05,4.9588e-05,4.9588e-05
46,72.4511,2.31342,3.88588,0.88973,0.0496,0.27682,0.07988,0.04056,2.05175,3.96723,0.85325,4.1965e-05,4.1965e-05,4.1965e-05
47,73.8775,2.3446,3.90243,0.88882,0.04863,0.27682,0.07965,0.04053,2.05498,3.95815,0.85322,3.4342e-05,3.4342e-05,3.4342e-05
48,75.3287,2.33542,3.8794,0.9161,0.04739,0.27682,0.07804,0.04022,2.04156,3.92998,0.85393,2.6719e-05,2.6719e-05,2.6719e-05
49,76.7871,2.37549,3.88111,0.9061,0.04722,0.27682,0.07739,0.03976,2.03384,3.9309,0.85743,1.9096e-05,1.9096e-05,1.9096e-05
50,78.3227,2.28999,3.96439,0.88918,0.04698,0.27682,0.07642,0.03949,2.02689,3.93156,0.85975,1.1473e-05,1.1473e-05,1.1473e-05
